Licence,GSP Group,Node 1,Operating Voltage 1,Node 2,Operating Voltage 2,Node 3,Operating Voltage 3,Status,Vector Group,R1,X1 HV-LV,X1 LV-Tertiary,X1 HV-Tertiary,X0 HV-LV,X0 LV-Tertiary ,X0 HV-Tertiary,Min Tap,Max Tap,Nominal Rating,Emergency Rating,Reverse Power Capability,Method of Earthing
EMIDS,Drakelow 132kV,BURT1_113A,132,BURT5_#1T0A,11,BURT5_#1T0B,11,Unchanged,YNyn0yn0,1.533,90.887,62.366,90.053,1003.562,1066.604,1005.86,-20,10,60,78,-,Solid/Resistor
EMIDS,Drakelow 132kV,BURT1_213A,132,BURT5_#2T0A,11,BURT5_#2T0B,11,Unchanged,YNyn0yn0,1.528,91.087,62.439,90.52,1013,1074.9,1015.3,-20,10,60,78,-,Solid/Resistor
SWALES,Uskmouth 132,NEWE1_#110,132,NEWE5_1T0A,11,NEWE5_1T0B,11,Updated,YNd3d3,1.664,81.43,148.69,81.03,38.323,0,38.323,-8,8,20,40,-,Earthing Transformer
SWALES,Uskmouth 132,NEWE1_#210,132,NEWE5_2T0A,11,NEWE5_2T0B,11,Updated,YNd3d3,1.664,81.43,148.69,81.03,38.323,0,38.323,-8,8,20,40,-,Earthing Transformer
SWEST,Iron Acton 132,SPAU1_313,132,SPAU5_3T0A,11,SPAU5_3T0B,11,Unchanged,YNyn0yn0,3.117,89.279,157.539,89.278,89.468,175.89,88.642,-19,10,30,60,12.16,Resistor
SWEST,Iron Acton 132,SPAU1_213,132,SPAU5_2T0A,11,SPAU5_2T0B,11,Unchanged,YNyn0yn0,3.117,89.279,157.539,89.278,89.468,175.89,88.642,-19,10,40,60,12.16,Resistor
WMIDS,Bishops Wood 132kV,KIDD1_113,132,KIDD5_1T0A,11,KIDD5_1T0B,11,Unchanged,YNd1d1,1.683,66,62.665,66.333,50.51,0.02,50.51,-20,10,60,78,full,Earthing Transformer
WMIDS,Bishops Wood 132kV,KIDD1_213,132,KIDD5_2T0A,11,KIDD5_2T0B,11,Unchanged,YNd1d1,1.574,66.667,64.33,66.167,50.177,0.02,50.177,-20,10,60,78,full,Earthing Transformer
WMIDS,Bishops Wood 132kV,UPTW1_413,132,UPTW5_4T0A,11,UPTW5_4T0B,11,Unchanged,YNd1d1,1.052,90.867,108.398,90.433,0.01,3577,0.01,-20,10,60,78,-,-
WMIDS,Bishops Wood 132kV,WARN1_113,132,WARN5_1T0A,11,WARN5_1T0B,11,Unchanged,YNd1d1,1.609,63.334,50.456,62.6,50.36,0.02,50.36,-20,10,60,78,-,-
WMIDS,Bishops Wood 132kV,WARN1_213,132,WARN5_2T0A,11,WARN5_2T0B,11,Unchanged,YNd1d1,1.59,62.667,49.4,62.667,50.327,0.02,50.327,-20,10,60,78,-,-
WMIDS,Bushbury 132kV,WEDN1_213,132,WEDN5_2T0A,11,WEDN5_2T0B,11,Unchanged,YNd1d1,1.306,67.334,65.334,67.334,42.643,0.02,42.643,-20,10,60,78,-,Earthing Transformer
WMIDS,Bushbury 132kV,WEDN1_313,132,WEDN5_3T0A,11,WEDN5_3T0B,11,Unchanged,YNd1d1,1.298,68,64.66,67.333,42.643,0.02,42.643,-20,10,60,78,full,Earthing Transformer
WMIDS,Bustleholm 132kV,BENT1_213,132,BENT5_2T0A,11,BENT5_2T0B,11,Unchanged,YNd1d1,1.261,71.5,56.995,70.933,49.01,0.02,49.01,-20,10,60,78,full,Earthing Transformer
WMIDS,Bustleholm 132kV,KING1_113,132,KING5_1T0A,11,KING5_1T0B,11,Unchanged,YNd1d1,1.425,59.833,49.331,60.166,47.677,0.02,47.677,-20,10,60,78,-,-
WMIDS,Bustleholm 132kV,KING1_213,132,KING5_2T0A,11,KING5_2T0B,11,Unchanged,YNd1d1,1.611,59.833,49.331,60.166,47.677,0.02,47.677,-20,10,60,78,-,-
WMIDS,Bustleholm 132kV,LADY1_113,132,LADY5_1T0A,11,LADY5_1T0B,11,Unchanged,YNd1d1,1.06,90,61.86,89.366,65.81,0.02,65.81,-20,10,60,78,full,Earthing Transformer
WMIDS,Bustleholm 132kV,LADY1_213,132,LADY5_2T0A,11,LADY5_2T0B,11,Unchanged,YNd1d1,1.059,90.7,62.324,89.934,66.177,0.02,66.177,-20,10,60,78,full,Earthing Transformer
WMIDS,Kitwell 132kV,CHAV1_113,132,CHAV5_#1T0A,11,CHAV5_#1T0B,11,Unchanged,YNd1d1,1.659,60.333,50,60.333,47.843,0.02,47.843,-20,10,60,78,full,Earthing Transformer
WMIDS,Kitwell 132kV,CHAV1_213,132,CHAV5_#2T0A,11,CHAV5_#2T0B,11,Unchanged,YNd1d1,1.619,60.05,50.033,60.233,47.643,0.02,47.643,-20,10,60,78,full,Earthing Transformer
WMIDS,Kitwell 132kV,HALG1_113,132,HALG5_#1T0A,11,HALG5_#1T0B,11,Unchanged,YNd1d1,1.448,64.833,64.666,64.667,48.543,0.02,48.543,-20,10,60,78,full,Earthing Transformer
WMIDS,Kitwell 132kV,HIGH1_113,132,HIGH5_#1T0A,11,HIGH5_#1T0B,11,Unchanged,YNd1d1,1.53,62.6,51,62.633,39.727,0.02,39.727,-20,10,60,78,full,Earthing Transformer
WMIDS,Kitwell 132kV,HIGH1_213,132,HIGH5_#2T0A,11,HIGH5_2T0B,11,Unchanged,YNd1d1,1.562,63,52,63,40.41,0.02,40.41,-20,10,60,78,full,Earthing Transformer
WMIDS,Lea Marston 132kV,CASB1_213,132,CASB5_#2T0A,11,CASB5_#2T0B,11,Unchanged,YNd1d1,1.127,64.133,53.199,64.4,44.45,0.02,44.45,-20,10,60,78,full,Earthing Transformer
WMIDS,Lea Marston 132kV,COPH1_113,132,COPH5_1T0A,11,COPH5_1T0B,11,Unchanged,YNd1d1,0.914,79.933,51.527,79.366,62.46,0.02,62.46,-20,10,60,78,full,Earthing Transformer
WMIDS,Lea Marston 132kV,COPH1_313,132,COPH5_3T0A,11,COPH5_3T0B,11,Unchanged,YNd1d1,1.053,90.7,106.799,90.433,57.393,0.02,57.393,-20,10,60,78,-,-
WMIDS,Lea Marston 132kV,ELMD1_213,132,ELMD5_2T0A,11,ELMD5_2T0B,11,Unchanged,YNd1d1,1.052,90.933,107.597,90.4,57.683,0,57.683,-20,10,60,78,full,Earthing Transformer
WMIDS,Lea Marston 132kV,ELMD1_313,132,ELMD5_3T0A,11,ELMD5_3T0B,11,Unchanged,YNd1d1,1.053,91.367,108.066,90.967,57.563,0,57.563,-20,10,60,78,full,Earthing Transformer
WMIDS,Lea Marston 132kV,HAHS1_313A,132,HAHS5_3T0A,11,HAHS5_3T0B,11,Unchanged,YNd1d1,1.059,77.467,60.861,76.9,58.793,0.02,58.793,-20,10,60,78,full,Earthing Transformer
WMIDS,Lea Marston 132kV,HAHS1_513A,132,HAHS5_5T0A,11,HAHS5_5T0B,11,Unchanged,YNd1d1,0.939,65.834,61.234,65.934,46.153,0.02,46.153,-20,10,60,78,-,-
WMIDS,Lea Marston 132kV,SOLI1_113,132,SOLI5_1T0A,11,SOLI5_1T0B,11,Unchanged,YNd1d1,1.08,99.24,62.87,98.37,73.74,0.02,73.74,-20,10,60,79,full,-
WMIDS,Lea Marston 132kV,SOLI1_213,132,SOLI5_2T0A,11,SOLI5_2T0B,11,Unchanged,YNd1d1,1.07,98.73,63.03,97.66,73.18,0.02,73.18,-20,10,60,78,full,-
WMIDS,Lea Marston 132kV,SUTC1_113,132,SUTC5_#1T0A,11,SUTC5_1T0B,11,Unchanged,YNd1d1,1.531,66.667,73.322,65.667,47.843,0.02,47.843,-20,10,60,78,full,Earthing Transformer
WMIDS,Lea Marston 132kV,SUTC1_213,132,SUTC5_#2T0A,11,SUTC5_#2T0B,11,Unchanged,YNd1d1,1.542,66.816,68.296,66.666,49.677,0.02,49.677,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,BORD1_113,132,BORD5_#1T0A,11,BORD5_#1T0B,11,Unchanged,YNd1d1,1.08,99.2,63.47,98.27,73.48,0.02,73.48,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,BORD1_213,132,BORD5_#2T0A,11,BORD5_#2T0B,11,Unchanged,YNd1d1,1.538,60,47.312,59,47.677,0.02,47.677,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,CASB1_113,132,CASB5_#1T0A,11,CASB5_#1T0B,11,Unchanged,YNd1d1,1.124,64.2,53.065,63.867,44.143,0.02,44.143,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,CHAP1_213,132,CHAP5_#2T0A,11,CHAP5_#2T0B,11,Unchanged,YNd1d1,1.128,76.3,60.598,76,52.443,0.02,52.443,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,CHAP1_MAIN1,132,CHAP5_#1T0A,11,CHAP5_#1T0B,11,Unchanged,YNd1d1,1.431,59,47.334,59,47.177,0.02,47.177,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,ERDI1_113,132,ERDI5_#1T0A,11,ERDI5_#1T0B,11,Unchanged,YNd1d1,1.487,65.333,49.331,65.666,53.177,0.02,53.177,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,ERDI1_313,132,ERDI5_#3T0A,11,ERDI5_#3T0B,11,Unchanged,YNd1d1,1.491,65.667,49.653,64.834,52.843,0.02,52.843,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,HOCK1_113,132,HOCK5_#1T0A,11,HOCK5_#1T0B,11,Unchanged,YNd1d1,1.08,99.03,62.53,98.06,73.29,0.02,73.29,-20,10,60,78,full,-
WMIDS,Nechells 132kV,HOCK1_213,132,HOCK5_#2T0A,11,HOCK5_#2T0B,11,Unchanged,YNd1d1,1.08,99,62.37,97.97,73.32,0.02,73.32,-20,10,60,78,full,-
WMIDS,Nechells 132kV,NECW1_113B,132,NECW5_1T0A,11,NECW5_1T0B,11,Unchanged,YNd1d1,1.078,77.4,61.266,77.5,51.893,0.02,51.893,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,NECW1_213C,132,NECW5_2T0A,11,NECW5_2T0B,11,Unchanged,YNd1d1,1.216,71.2,56.134,71.3,49.327,0.02,49.327,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,NECW1_313C,132,NECW5_3T0A,11,NECW5_3T0B,11,Unchanged,YNd1d1,1.291,70.4,55.267,70.433,49.393,0.02,49.393,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,SPAR1_113A,132,SPAR5_#1T0A,11,SPAR5_#1T0B,11,Unchanged,YNd1d1,1.517,62.534,52.732,62.834,49.51,0.02,49.51,-20,10,60,78,full,Earthing Transformer
WMIDS,Nechells 132kV,SPAR1_213A,132,SPAR5_#2T0A,11,SPAR5_#2T0B,11,Unchanged,YNd1d1,1.509,61.866,51.391,62.533,49.36,0.02,49.36,-20,10,60,78,full,Earthing Transformer
WMIDS,Ocker Hill 132kV,BLAL1_113A,132,BLAL5_#1T0A1,11,BLAL5_#1T0A2,11,Unchanged,YNd1d1,1.624,59.333,48.333,59.5,47.343,0.02,47.343,-20,10,60,78,full,Earthing Transformer
WMIDS,Ocker Hill 132kV,BLAL1_213A,132,BLAL5_#2T0A1,11,BLAL5_#2T0A2,11,Unchanged,YNd1d1,1.754,59.833,49.331,60.166,47.677,0.02,47.677,-20,10,60,78,full,Earthing Transformer
WMIDS,Oldbury 132kV,TIVI1_113,132,TIVI5_1T0A,11,TIVI5_1T0B,11,Unchanged,YNd1d1,1.397,65.333,67.993,64.666,48.01,0.02,48.01,-20,10,60,78,full,Earthing Transformer
WMIDS,Oldbury 132kV,TIVI1_213,132,TIVI5_2T0A,11,TIVI5_2T0B,11,Unchanged,YNd1d1,1.305,67.667,64.665,68,51.677,0.02,51.677,-20,10,60,78,full,Earthing Transformer
WMIDS,Penn 132kV,DUDL1_113,132,DUDL5_1T0A,11,DUDL5_1T0B,11,Unchanged,YNd1d1,1.246,71.133,56.098,71.133,49.443,0.02,49.443,-20,10,30,60,-,-
WMIDS,Penn 132kV,WOSI1_113,132,WOSI5_1T0A,11,WOSI5_1T0B,11,Unchanged,YNd1d1,1.298,68,64.66,67.334,48.843,0.02,48.843,-20,10,30,60,full,Earthing Transformer
WMIDS,Penn 132kV,WOSI1_213,132,WOSI5_2T0A,11,WOSI5_2T0B,11,Unchanged,YNd1d1,1.293,67.333,65.993,68,48.843,0.02,48.843,-20,10,30,60,full,Earthing Transformer
WMIDS,Port Ham 132kV,MARH1_113,132,MARH5_1T0A,11,MARH5_1T0B,11,Unchanged,YNd1d1,1.259,70.734,56.066,71.034,49.16,0.02,49.16,-20,10,60,78,-,-
WMIDS,Port Ham 132kV,MONT1_113,132,MONT5_1T0A,11,MONT5_1T0B,11,Unchanged,YNd11d11,1.635,60,49.331,60.333,47.843,0.02,47.843,-20,10,60,78,full,Earthing Transformer
WMIDS,Port Ham 132kV,MONT1_213,132,MONT5_2T0A,11,MONT5_2T0B,11,Unchanged,YNd11d11,1.649,60.667,49.998,60.333,48.01,0.02,48.01,-20,10,60,78,full,Earthing Transformer
WMIDS,Rugeley 132kV,BURN1_113,132,BURN5_1T0A,11,BURN5_1T0B,11,Unchanged,YNd1d1,1.074,63.767,52.399,63.9,43.12,0,43.12,-20,10,60,78,-,-
WMIDS,Rugeley 132kV,BURN1_213,132,BURN5_2T0A,11,BURN5_2T0B,11,Unchanged,YNd1d1,1.053,90.766,108.065,90.433,57.4,0,57.4,-20,10,60,78,full,Earthing Transformer
WMIDS,Rugeley 132kV,CANN1_113,132,CANN5_1T0A,11,CANN5_1T0B,11,Unchanged,YNd1d1,1.084,63.334,51.934,63.234,43.467,0,43.467,-20,10,60,78,full,Earthing Transformer
WMIDS,Rugeley 132kV,CANN1_213,132,CANN5_2T0A,11,CANN5_2T0B,11,Unchanged,YNd1d1,1.083,63.7,53.266,63.866,43.62,0.02,43.62,-20,10,60,78,full,Earthing Transformer
WMIDS,Rugeley 132kV,CANN1_313,132,CANN5_3T0A,11,CANN5_3T0B,11,Unchanged,YNd1d1,1.028,81.166,71.398,81.466,58.41,0.02,58.41,-20,10,60,78,full,Earthing Transformer
WMIDS,Rugeley 132kV,LICH1_113,132,LICH5_1T0A,11,LICH5_1T0B,11,Unchanged,YNd1d1,1.08,99.46,63.03,98.63,73.84,0.02,73.84,-20,10,60,78,full,Earthing Transformer
WMIDS,Rugeley 132kV,LICH1_213,132,LICH5_2T0A,11,LICH5_2T0B,11,Unchanged,YNd1d1,0.99,91,59,86.66,64.57,0.02,64.57,-20,10,60,78,full,Earthing Transformer
WMIDS,Willenhall 132kV,BENT1_113,132,BENT5_1T0A,11,BENT5_1T0B,11,Unchanged,YNd1d1,1.12,81.16,68.46,81.46,0.01,0.02,0.01,-20,10,60,78,full,Earthing Transformer
WMIDS,Willenhall 132kV,BURN1_313,132,BURN5_3T0A,11,BURN5_3T0B,11,Unchanged,YNd1d1,1.528,70.434,71.856,71.334,44.98,0,44.98,-20,10,60,78,-,Earthing Transformer
WMIDS,Willenhall 132kV,WOLV1_113,132,WOLV5_1T0A,11,WOLV5_1T0B,11,Unchanged,YNd1d1,1.015,68,64.665,68.333,46.51,0.02,46.51,-20,10,60,78,full,Earthing Transformer
WMIDS,Willenhall 132kV,WOLV1_213,132,WOLV5_2T0A,11,WOLV5_2T0B,11,Unchanged,YNd1d1,0.997,68.333,66.665,68,46.677,0.02,46.677,-20,10,60,78,-,Earthing Transformer
