substation,zone,position_threshold,n_projects,queue_mw,PV_curtailment_pct,Wind_curtailment_pct,BESS_curtailment_pct
PONA,swansea-north,111,7,162,10.09,6.88,24.34
PONA,swansea-north,216,10,205,8.81,2.46,21.27
PONA,swansea-north,253,14,316,8.81,2.46,21.27
PONA,swansea-north,1785,18,413,8.79,2.41,21.23
POND,swansea-north,0,0,52,1.64,0.98,11.15
POND,swansea-north,13,3,86,1.52,0.98,11.15
POND,swansea-north,111,7,162,1.71,0.99,11.23
POND,swansea-north,216,10,205,1.71,0.99,11.23
POND,swansea-north,253,14,316,1.77,0.99,11.23
POND,swansea-north,1785,18,413,1.92,1.01,11.24
PONY,swansea-north,0,0,52,7.94,1.25,14.62
PONY,swansea-north,13,3,86,7.94,1.25,14.62
PONY,swansea-north,111,7,162,7.94,1.25,14.62
PONY,swansea-north,216,10,205,7.94,1.25,14.62
PONY,swansea-north,253,14,316,7.94,1.25,14.62
PONY,swansea-north,1785,18,413,7.94,1.25,14.62
RAVE,swansea-north,0,0,52,0.0,0.0,0.0
RAVE,swansea-north,13,3,86,0.0,0.0,0.0
RAVE,swansea-north,111,7,162,0.0,0.0,0.0
RAVE,swansea-north,216,10,205,0.0,0.0,0.0
RAVE,swansea-north,253,14,316,0.03,0.0,0.01
RAVE,swansea-north,1785,18,413,0.99,0.02,0.45
REDC,swansea-north,0,0,52,0.26,9.36,12.25
REDC,swansea-north,13,3,86,0.26,9.36,12.25
REDC,swansea-north,111,7,162,0.26,9.36,12.25
REDC,swansea-north,216,10,205,0.26,9.36,12.25
REDC,swansea-north,253,14,316,0.26,9.36,12.25
REDC,swansea-north,1785,18,413,0.26,9.36,12.25
RGOS,swansea-north,0,0,52,0.0,0.0,0.0
RGOS,swansea-north,13,3,86,0.0,0.0,0.0
RGOS,swansea-north,111,7,162,0.0,0.0,0.0
RGOS,swansea-north,216,10,205,0.0,0.0,0.0
RGOS,swansea-north,253,14,316,0.0,0.0,0.0
RGOS,swansea-north,1785,18,413,0.0,0.0,0.0
RHYD,swansea-north,0,0,52,5.18,15.02,16.98
RHYD,swansea-north,13,3,86,5.18,15.02,16.98
RHYD,swansea-north,111,7,162,5.18,15.02,16.98
RHYD,swansea-north,216,10,205,5.05,14.75,16.76
RHYD,swansea-north,253,14,316,5.05,14.75,16.76
RHYD,swansea-north,1785,18,413,5.06,14.76,16.77
Rhos,swansea-north,0,0,52,0.25,0.0,0.01
Rhos,swansea-north,13,3,86,0.25,0.0,0.01
Rhos,swansea-north,111,7,162,0.25,0.0,0.01
Rhos,swansea-north,216,10,205,0.25,0.0,0.01
Rhos,swansea-north,253,14,316,0.25,0.0,0.01
Rhos,swansea-north,1785,18,413,0.23,0.0,0.01
SOFI,swansea-north,0,0,52,0.0,0.0,0.0
SOFI,swansea-north,13,3,86,0.0,0.0,0.0
SOFI,swansea-north,111,7,162,0.0,0.0,0.0
SOFI,swansea-north,216,10,205,0.0,0.0,0.0
SOFI,swansea-north,253,14,316,0.0,0.0,0.0
SOFI,swansea-north,1785,18,413,0.0,0.0,0.0
STCL,swansea-north,0,0,52,26.49,32.45,40.7
STCL,swansea-north,13,3,86,26.49,32.45,40.7
STCL,swansea-north,111,7,162,26.49,32.45,40.7
STCL,swansea-north,216,10,205,26.49,32.45,40.7
STCL,swansea-north,253,14,316,26.49,32.45,40.7
STCL,swansea-north,1785,18,413,26.49,32.45,40.7
SWAU,swansea-north,0,0,52,13.35,15.3,31.52
SWAU,swansea-north,13,3,86,13.35,15.3,31.52
SWAU,swansea-north,111,7,162,13.35,15.3,31.52
SWAU,swansea-north,216,10,205,13.35,15.3,31.52
SWAU,swansea-north,253,14,316,13.35,15.3,31.52
SWAU,swansea-north,1785,18,413,13.66,15.32,31.6
Swansea North,swansea-north,0,0,52,0.0,0.0,0.0
Swansea North,swansea-north,13,3,86,0.0,0.0,0.0
Swansea North,swansea-north,111,7,162,0.02,0.0,0.0
Swansea North,swansea-north,216,10,205,1.13,0.0,0.06
Swansea North,swansea-north,253,14,316,0.43,0.0,0.02
Swansea North,swansea-north,1785,18,413,0.45,0.0,0.03
Swansea West,swansea-north,0,0,52,0.0,0.0,0.0
Swansea West,swansea-north,13,3,86,0.0,0.0,0.0
Swansea West,swansea-north,111,7,162,0.0,0.0,0.0
Swansea West,swansea-north,216,10,205,0.0,0.0,0.0
Swansea West,swansea-north,253,14,316,0.03,0.0,0.01
Swansea West,swansea-north,1785,18,413,0.99,0.02,0.45
TIMT,swansea-north,0,0,52,0.0,0.0,0.0
TIMT,swansea-north,13,3,86,0.0,0.0,0.0
TIMT,swansea-north,111,7,162,0.0,0.0,0.0
TIMT,swansea-north,216,10,205,0.0,0.0,0.0
TIMT,swansea-north,253,14,316,0.0,0.0,0.0
TIMT,swansea-north,1785,18,413,0.0,0.0,0.0
TREG,swansea-north,0,0,52,0.03,0.0,1.16
TREG,swansea-north,13,3,86,0.03,0.0,1.17
TREG,swansea-north,111,7,162,0.03,0.0,1.17
TREG,swansea-north,216,10,205,0.44,0.91,1.47
TREG,swansea-north,253,14,316,0.44,0.91,1.47
TREG,swansea-north,1785,18,413,0.44,0.91,1.47
TREV,swansea-north,0,0,52,0.26,9.4,12.32
TREV,swansea-north,13,3,86,0.26,9.4,12.32
TREV,swansea-north,111,7,162,0.26,9.4,12.32
TREV,swansea-north,216,10,205,0.26,9.4,12.32
TREV,swansea-north,253,14,316,0.26,9.4,12.32
TREV,swansea-north,1785,18,413,0.26,9.4,12.32
TSKT,swansea-north,0,0,52,0.0,0.0,0.0
TSKT,swansea-north,13,3,86,0.0,0.0,0.0
TSKT,swansea-north,111,7,162,0.0,0.0,0.0
TSKT,swansea-north,216,10,205,0.0,0.0,0.0
TSKT,swansea-north,253,14,316,0.03,0.0,0.01
TSKT,swansea-north,1785,18,413,0.99,0.02,0.45
TUMB,swansea-north,0,0,52,1.24,0.21,8.08
TUMB,swansea-north,13,3,86,1.24,0.21,8.08
TUMB,swansea-north,111,7,162,1.24,0.21,8.08
TUMB,swansea-north,216,10,205,1.24,0.21,8.08
TUMB,swansea-north,253,14,316,1.24,0.21,8.08
TUMB,swansea-north,1785,18,413,1.24,0.21,8.08
TWYN,swansea-north,0,0,52,4.62,15.2,15.25
TWYN,swansea-north,13,3,86,4.62,15.2,15.25
TWYN,swansea-north,111,7,162,4.62,15.2,15.25
TWYN,swansea-north,216,10,205,4.55,15.07,15.14
TWYN,swansea-north,253,14,316,4.55,15.07,15.14
TWYN,swansea-north,1785,18,413,4.55,15.07,15.14
Tir John,swansea-north,0,0,52,0.0,0.0,0.0
Tir John,swansea-north,13,3,86,0.0,0.0,0.0
Tir John,swansea-north,111,7,162,0.0,0.0,0.0
Tir John,swansea-north,216,10,205,0.0,0.0,0.0
Tir John,swansea-north,253,14,316,0.0,0.0,0.0
Tir John,swansea-north,1785,18,413,0.0,0.0,0.0
Trostre,swansea-north,0,0,52,0.0,0.0,0.0
Trostre,swansea-north,13,3,86,0.0,0.0,0.0
Trostre,swansea-north,111,7,162,0.0,0.0,0.0
Trostre,swansea-north,216,10,205,0.0,0.0,0.0
Trostre,swansea-north,253,14,316,0.0,0.0,0.0
Trostre,swansea-north,1785,18,413,0.0,0.0,0.0
WAUN,swansea-north,0,0,52,27.15,54.77,57.64
WAUN,swansea-north,13,3,86,27.15,54.77,57.64
WAUN,swansea-north,111,7,162,27.16,54.77,57.64
WAUN,swansea-north,216,10,205,22.84,52.15,53.34
WAUN,swansea-north,253,14,316,22.19,52.15,53.31
WAUN,swansea-north,1785,18,413,22.2,52.15,53.32
WESX,swansea-north,0,0,52,0.24,0.03,3.73
WESX,swansea-north,13,3,86,0.24,0.03,3.73
WESX,swansea-north,111,7,162,0.24,0.03,3.73
WESX,swansea-north,216,10,205,0.24,0.03,3.73
WESX,swansea-north,253,14,316,0.26,0.03,3.74
WESX,swansea-north,1785,18,413,1.22,0.05,4.09
WGWB,swansea-north,0,0,52,14.18,11.64,27.19
WGWB,swansea-north,13,3,86,14.18,11.64,27.19
WGWB,swansea-north,111,7,162,14.18,11.64,27.19
WGWB,swansea-north,216,10,205,14.18,11.64,27.19
WGWB,swansea-north,253,14,316,14.18,11.64,27.19
WGWB,swansea-north,1785,18,413,14.18,11.64,27.19
WHIT,swansea-north,0,0,52,28.01,28.97,39.48
WHIT,swansea-north,13,3,86,28.01,28.97,39.48
WHIT,swansea-north,111,7,162,28.01,28.97,39.48
WHIT,swansea-north,216,10,205,28.01,28.97,39.48
WHIT,swansea-north,253,14,316,28.01,28.97,39.48
WHIT,swansea-north,1785,18,413,28.01,28.97,39.48
WSTC,swansea-north,0,0,52,18.83,1.85,13.53
WSTC,swansea-north,13,3,86,9.48,0.19,4.31
WSTC,swansea-north,111,7,162,10.87,0.25,4.56
WSTC,swansea-north,216,10,205,10.87,0.25,4.56
WSTC,swansea-north,253,14,316,13.3,0.39,4.97
WSTC,swansea-north,1785,18,413,13.3,0.39,4.97
YNST,swansea-north,0,0,52,0.01,1.56,1.83
YNST,swansea-north,13,3,86,0.01,1.56,1.83
YNST,swansea-north,111,7,162,0.01,1.56,1.83
YNST,swansea-north,216,10,205,0.01,1.56,1.83
YNST,swansea-north,253,14,316,0.01,1.56,1.83
YNST,swansea-north,1785,18,413,0.01,1.56,1.83
YNYS,swansea-north,0,0,52,0.61,12.42,5.28
YNYS,swansea-north,13,3,86,0.61,12.42,5.28
YNYS,swansea-north,111,7,162,0.61,12.42,5.28
YNYS,swansea-north,216,10,205,0.61,12.42,5.28
YNYS,swansea-north,253,14,316,0.61,12.42,5.28
YNYS,swansea-north,1785,18,413,0.61,12.42,5.28
YSTF,swansea-north,0,0,52,3.26,7.56,22.09
YSTF,swansea-north,13,3,86,3.23,7.55,22.09
YSTF,swansea-north,111,7,162,3.23,7.55,22.09
YSTF,swansea-north,216,10,205,3.53,8.02,22.2
YSTF,swansea-north,253,14,316,3.53,8.02,22.2
YSTF,swansea-north,1785,18,413,3.53,8.02,22.2
Ystradgynlais,swansea-north,0,0,52,0.19,0.01,0.01
Ystradgynlais,swansea-north,13,3,86,0.0,0.0,0.0
Ystradgynlais,swansea-north,111,7,162,0.0,0.0,0.0
Ystradgynlais,swansea-north,216,10,205,0.0,0.0,0.0
Ystradgynlais,swansea-north,253,14,316,0.46,0.0,0.08
Ystradgynlais,swansea-north,1785,18,413,0.83,0.04,0.15
ABTY,upper-boat,0,0,11,6.51,1.4,12.13
ABTY,upper-boat,53,3,81,6.51,1.4,12.13
ABTY,upper-boat,114,6,180,6.51,1.4,12.13
ABTY,upper-boat,243,9,273,6.51,1.4,12.13
ABTY,upper-boat,1611,12,336,6.51,1.4,12.13
ABTY,upper-boat,1808,16,376,37.26,35.39,30.92
BARG,upper-boat,0,0,11,0.34,3.86,19.85
BARG,upper-boat,53,3,81,0.34,3.86,19.85
BARG,upper-boat,114,6,180,0.34,3.86,19.85
BARG,upper-boat,243,9,273,0.34,3.86,19.85
BARG,upper-boat,1611,12,336,0.34,3.86,19.85
BARG,upper-boat,1808,16,376,13.67,12.34,12.46
CAER,upper-boat,0,0,11,0.01,0.16,0.13
CAER,upper-boat,53,3,81,0.0,0.01,0.06
CAER,upper-boat,114,6,180,0.0,0.13,0.1
CAER,upper-boat,243,9,273,0.01,0.18,0.12
CAER,upper-boat,1611,12,336,0.01,0.13,0.08
CAER,upper-boat,1808,16,376,0.0,0.06,0.06
CREI,upper-boat,0,0,11,0.01,0.16,0.07
CREI,upper-boat,53,3,81,0.0,0.01,0.0
CREI,upper-boat,114,6,180,0.0,0.13,0.05
CREI,upper-boat,243,9,273,0.01,0.18,0.06
CREI,upper-boat,1611,12,336,0.01,0.13,0.02
CREI,upper-boat,1808,16,376,0.0,0.06,0.0
Dowlais,upper-boat,0,0,11,0.0,0.0,0.0
Dowlais,upper-boat,53,3,81,0.0,0.0,0.0
Dowlais,upper-boat,114,6,180,0.0,0.0,0.0
Dowlais,upper-boat,243,9,273,0.0,0.0,0.0
Dowlais,upper-boat,1611,12,336,0.0,0.0,0.0
Dowlais,upper-boat,1808,16,376,0.01,0.14,0.21
ENER,upper-boat,0,0,11,0.01,0.16,0.07
ENER,upper-boat,53,3,81,0.0,0.01,0.0
ENER,upper-boat,114,6,180,0.0,0.13,0.05
ENER,upper-boat,243,9,273,0.01,0.18,0.06
ENER,upper-boat,1611,12,336,0.01,0.13,0.02
ENER,upper-boat,1808,16,376,0.0,0.06,0.01
GASY,upper-boat,0,0,11,0.01,0.06,2.36
GASY,upper-boat,53,3,81,0.03,0.38,7.28
GASY,upper-boat,114,6,180,0.04,0.06,5.73
GASY,upper-boat,243,9,273,0.0,0.04,4.8
GASY,upper-boat,1611,12,336,0.0,0.12,9.54
GASY,upper-boat,1808,16,376,0.01,0.29,10.86
IRON,upper-boat,0,0,11,0.03,0.18,1.23
IRON,upper-boat,53,3,81,0.02,0.02,1.16
IRON,upper-boat,114,6,180,0.02,0.15,1.21
IRON,upper-boat,243,9,273,0.03,0.2,1.23
IRON,upper-boat,1611,12,336,0.03,0.15,1.19
IRON,upper-boat,1808,16,376,0.02,0.08,1.17
LADY,upper-boat,0,0,11,1.32,3.29,7.12
LADY,upper-boat,53,3,81,4.27,4.83,20.88
LADY,upper-boat,114,6,180,4.75,2.21,17.22
LADY,upper-boat,243,9,273,1.39,1.6,14.0
LADY,upper-boat,1611,12,336,5.48,3.79,29.19
LADY,upper-boat,1808,16,376,7.57,5.37,32.81
MASH,upper-boat,0,0,11,3.56,5.01,15.51
MASH,upper-boat,53,3,81,11.93,7.56,31.12
MASH,upper-boat,114,6,180,12.33,3.34,26.61
MASH,upper-boat,243,9,273,1.91,2.23,22.94
MASH,upper-boat,1611,12,336,8.62,5.21,36.73
MASH,upper-boat,1808,16,376,12.48,7.38,40.23
MILL,upper-boat,0,0,11,16.79,20.66,32.68
MILL,upper-boat,53,3,81,16.78,20.5,32.62
MILL,upper-boat,114,6,180,16.79,20.64,32.66
MILL,upper-boat,243,9,273,16.82,20.69,32.68
MILL,upper-boat,1611,12,336,16.81,20.63,32.65
MILL,upper-boat,1808,16,376,16.79,20.54,32.62
MORL,upper-boat,0,0,11,4.12,2.75,17.58
MORL,upper-boat,53,3,81,4.11,2.6,17.53
MORL,upper-boat,114,6,180,4.11,2.72,17.57
MORL,upper-boat,243,9,273,4.12,2.76,17.58
MORL,upper-boat,1611,12,336,4.12,2.71,17.55
MORL,upper-boat,1808,16,376,4.11,2.65,17.53
Mountain Ash,upper-boat,0,0,11,3.62,5.03,14.69
Mountain Ash,upper-boat,53,3,81,12.06,7.6,31.02
Mountain Ash,upper-boat,114,6,180,12.45,3.35,26.37
Mountain Ash,upper-boat,243,9,273,1.91,2.23,22.6
Mountain Ash,upper-boat,1611,12,336,8.67,5.23,36.64
Mountain Ash,upper-boat,1808,16,376,12.57,7.41,40.19
NANW,upper-boat,0,0,11,1.62,0.03,0.71
NANW,upper-boat,53,3,81,1.62,0.03,0.71
NANW,upper-boat,114,6,180,1.62,0.03,0.71
NANW,upper-boat,243,9,273,1.62,0.03,0.71
NANW,upper-boat,1611,12,336,1.62,0.03,0.71
NANW,upper-boat,1808,16,376,21.68,24.87,15.43
NELS,upper-boat,0,0,11,0.98,0.95,3.98
NELS,upper-boat,53,3,81,2.52,2.5,14.54
NELS,upper-boat,114,6,180,2.6,1.56,12.34
NELS,upper-boat,243,9,273,1.3,1.38,10.12
NELS,upper-boat,1611,12,336,4.43,3.22,24.27
NELS,upper-boat,1808,16,376,6.07,4.56,27.69
PENR,upper-boat,0,0,11,16.11,18.3,31.26
PENR,upper-boat,53,3,81,23.01,18.03,39.91
PENR,upper-boat,114,6,180,23.75,17.06,37.76
PENR,upper-boat,243,9,273,19.47,17.54,35.88
PENR,upper-boat,1611,12,336,24.68,19.71,44.52
PENR,upper-boat,1808,16,376,26.28,19.84,46.6
PENT,upper-boat,0,0,11,1.04,0.04,2.14
PENT,upper-boat,53,3,81,1.04,0.04,2.14
PENT,upper-boat,114,6,180,1.04,0.04,2.14
PENT,upper-boat,243,9,273,1.04,0.04,2.14
PENT,upper-boat,1611,12,336,1.04,0.04,2.14
PENT,upper-boat,1808,16,376,14.43,13.47,12.54
SPTC,upper-boat,0,0,11,7.1,15.85,15.84
SPTC,upper-boat,53,3,81,7.09,15.76,15.81
SPTC,upper-boat,114,6,180,7.09,15.82,15.83
SPTC,upper-boat,243,9,273,7.1,15.85,15.84
SPTC,upper-boat,1611,12,336,7.1,15.83,15.83
SPTC,upper-boat,1808,16,376,7.09,15.78,15.81
SWRD,upper-boat,0,0,11,1.21,0.13,3.74
SWRD,upper-boat,53,3,81,1.21,0.13,3.74
SWRD,upper-boat,114,6,180,1.21,0.13,3.74
SWRD,upper-boat,243,9,273,1.21,0.13,3.74
SWRD,upper-boat,1611,12,336,1.21,0.13,3.74
SWRD,upper-boat,1808,16,376,13.6,12.61,12.88
TONY,upper-boat,0,0,11,0.07,2.27,2.02
TONY,upper-boat,53,3,81,0.05,0.4,0.69
TONY,upper-boat,114,6,180,0.09,2.35,1.39
TONY,upper-boat,243,9,273,0.87,3.76,1.88
TONY,upper-boat,1611,12,336,0.59,2.97,0.9
TONY,upper-boat,1808,16,376,0.17,1.17,0.72
TRET,upper-boat,0,0,11,0.02,0.63,4.99
TRET,upper-boat,53,3,81,0.0,0.31,4.08
TRET,upper-boat,114,6,180,0.0,0.43,4.12
TRET,upper-boat,243,9,273,0.01,0.48,4.14
TRET,upper-boat,1611,12,336,0.01,0.43,4.1
TRET,upper-boat,1808,16,376,0.0,0.36,4.09
UPPB,upper-boat,0,0,11,0.01,0.16,0.07
UPPB,upper-boat,53,3,81,0.0,0.01,0.0
UPPB,upper-boat,114,6,180,0.0,0.13,0.05
UPPB,upper-boat,243,9,273,0.01,0.18,0.06
UPPB,upper-boat,1611,12,336,0.01,0.13,0.02
UPPB,upper-boat,1808,16,376,0.0,0.06,0.0
WATT,upper-boat,0,0,11,20.31,28.01,35.82
WATT,upper-boat,53,3,81,16.67,26.39,34.87
WATT,upper-boat,114,6,180,10.24,21.12,32.04
WATT,upper-boat,243,9,273,5.53,17.78,29.55
WATT,upper-boat,1611,12,336,4.74,16.23,28.5
WATT,upper-boat,1808,16,376,3.78,14.42,28.32
BRIE,uskmouth,0,0,24,0.05,0.77,2.15
BRIE,uskmouth,11,3,105,0.05,0.77,2.15
BRIE,uskmouth,62,6,323,0.05,0.77,2.15
BRIE,uskmouth,163,9,378,0.05,0.77,2.15
BRIE,uskmouth,371,12,528,0.05,0.77,2.15
BRIE,uskmouth,1810,15,586,0.16,0.78,2.16
CHEP,uskmouth,0,0,24,34.88,23.01,36.42
CHEP,uskmouth,11,3,105,34.89,23.02,36.42
CHEP,uskmouth,62,6,323,34.91,23.02,36.42
CHEP,uskmouth,163,9,378,34.91,23.02,36.42
CHEP,uskmouth,371,12,528,34.91,23.02,36.42
CHEP,uskmouth,1810,15,586,34.91,23.02,36.42
NEWH,uskmouth,0,0,24,11.5,6.58,23.78
NEWH,uskmouth,11,3,105,11.52,6.58,23.79
NEWH,uskmouth,62,6,323,11.61,6.6,23.8
NEWH,uskmouth,163,9,378,11.61,6.6,23.8
NEWH,uskmouth,371,12,528,11.61,6.6,23.8
NEWH,uskmouth,1810,15,586,11.65,6.61,23.8
Newport South,uskmouth,0,0,24,0.05,0.77,2.03
Newport South,uskmouth,11,3,105,0.05,0.77,2.03
Newport South,uskmouth,62,6,323,0.05,0.77,2.03
Newport South,uskmouth,163,9,378,0.05,0.77,2.03
Newport South,uskmouth,371,12,528,0.05,0.77,2.03
Newport South,uskmouth,1810,15,586,0.16,0.78,2.05
Sudbrook,uskmouth,0,0,24,0.0,0.12,2.04
Sudbrook,uskmouth,11,3,105,0.03,0.13,2.44
Sudbrook,uskmouth,62,6,323,0.32,0.21,2.97
Sudbrook,uskmouth,163,9,378,0.32,0.21,2.97
Sudbrook,uskmouth,371,12,528,0.32,0.21,2.97
Sudbrook,uskmouth,1810,15,586,0.41,0.22,2.98
TBAT,uskmouth,0,0,24,0.05,0.77,2.03
TBAT,uskmouth,11,3,105,0.05,0.77,2.03
TBAT,uskmouth,62,6,323,0.05,0.77,2.03
TBAT,uskmouth,163,9,378,0.05,0.77,2.03
TBAT,uskmouth,371,12,528,0.05,0.77,2.03
TBAT,uskmouth,1810,15,586,0.16,0.78,2.04
